model,phase,n,rmse,r2,mae
XGBoost_V2,Early (1-10),5420,61.362,0.3139,49.162
XGBoost_V2,Middle (11-40),15748,41.988,0.6526,32.718
XGBoost_V2,Death (41-50),4224,16.112,0.9269,12.38
LightGBM_V2,Early (1-10),5420,60.81,0.3262,48.667
LightGBM_V2,Middle (11-40),15748,41.666,0.6579,32.333
LightGBM_V2,Death (41-50),4224,15.661,0.9309,11.846
CatBoost_V2,Early (1-10),5420,60.996,0.3221,48.646
CatBoost_V2,Middle (11-40),15748,41.375,0.6627,32.032
CatBoost_V2,Death (41-50),4224,15.99,0.928,12.268
DLS,Early (1-10),5420,104.968,-1.0076,82.447
DLS,Middle (11-40),15748,54.396,0.4169,40.927
DLS,Death (41-50),4224,15.776,0.9299,10.983
LightGBM_V1,Early (1-10),5420,67.82,0.1619,54.41
LightGBM_V1,Middle (11-40),15748,44.026,0.618,34.129
LightGBM_V1,Death (41-50),4224,14.807,0.9382,10.727
