,0
dls_predicted_final,25.060255957986914
current_run_rate,8.54940046305079
elo_gap,4.95604497813634
resource_pct_dls,4.105394118337876
wickets_fallen,2.962918223185403
partnership_quality,2.4608036360814083
batting_team_elo,2.421798587183048
batter1_innings_count,2.337068763734803
run_rate_vs_venue,2.278228752157142
batting_at_home,1.7093882088871042
batter1_avg_30,1.6574751042539984
batter2_avg_30,1.6388087261692839
bowling_team_elo,1.556692624486261
year,1.5565525635063462
bowling_team_avg_economy_5,1.4879762145136535
batting_team_avg_score_5,1.4235939567987799
venue_avg_score,1.0855304009256241
wicket_rate_10,0.8074382151653713
balls_per_boundary,0.7911123873010484
overs_completed,0.7754190720381958
venue_std_score,0.6696074397131
current_bowler_economy_30,0.612150520837522
dot_ball_percentage,0.5682950474483598
boundary_percentage,0.5623883466176711
cumulative_boundaries,0.4978723019485235
venue_boundary_rate,0.4737368916522751
batter2_sr_30,0.4668244742316059
venue_high_score_rate,0.4444802314662981
venue_matches_count,0.39851099746624213
venue_avg_wickets_25,0.37197140801975254
batter1_sr_30,0.3612960660450493
current_score,0.2565238179894279
toss_bat_first,0.21356704733194173
powerplay_score,0.16438040782414637
partnership_runs,0.14061907450673802
cumulative_sixes,0.11070674671381919
batter1_boundary_rate_30,0.06520509411593245
recent_wickets_5,0.060801945992451395
is_death_overs,0.021844366964212145
current_bowler_sr_30,0.01836634666477707
is_middle_overs,0.009361074215890193
run_rate_std_5,0.0007869111037918264
is_powerplay,0.0
scoring_acceleration,0.0
recent_run_rate_5,0.0
manhattan_gradient,0.0
